id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,data_fetched_at
ripple,xrp,XRP,2.54,145372701864,3,254168578349,14507376566,2.7,2.48,-0.162977406226966,-6.02506,-9357513558.596252,-6.04763,57187870382.0,99986858106.0,100000000000.0,3.4,-24.98628,2018-01-07 00:00:00+00:00,0.00268621,94803.49008,2014-05-22 00:00:00+00:00,2024-12-18 12:57:24.240000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
rocket-pool-eth,reth,Rocket Pool ETH,4319.39,1956065829,75,1956065829,22076738,4506.33,4281.2,-175.33650198163923,-3.90094,-72820646.29624295,-3.58919,451267.4287596566,451267.4287596566,,4814.31,-9.88898,2021-12-01 08:03:50.749000+00:00,887.26,388.94426,2022-06-18 20:55:45.957000+00:00,2024-12-18 12:57:28.262000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
sei-network,sei,Sei,0.512567,2164336338,71,5143656469,184925957,0.570621,0.508332,-0.0580540176315014,-10.17383,-241269599.2028876,-10.02947,4207777777.0,10000000000.0,,1.14,-54.62384,2024-03-16 02:30:23.904000+00:00,0.095364,442.30276,2023-10-19 08:05:30.655000+00:00,2024-12-18 12:57:24.464000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
shiba-inu,shib,Shiba Inu,2.562e-05,15104435733,15,15110923018,767627296,2.741e-05,2.552e-05,-1.78537684605e-06,-6.51406,-1047740037.058506,-6.48668,589255496824985.8,589508579298169.0,,8.616e-05,-70.11658,2021-10-28 03:54:55.568000+00:00,5.6366e-11,45678173.57755,2020-11-28 11:26:25.838000+00:00,2024-12-18 12:57:27.522000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
solana,sol,Solana,216.26,103682320083,6,127743348989,7906186830,228.26,214.0,-10.72684860711334,-4.7258,-5018056379.118988,-4.61641,479178271.6768849,590378737.0686845,,263.21,-17.75571,2024-11-23 15:05:59.896000+00:00,0.500801,43125.31766,2020-05-11 19:35:23.449000+00:00,2024-12-18 12:57:23.889000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
solv-btc,solvbtc,Solv Protocol SolvBTC,104583.0,1422334979,100,1422708698,17270322,107779.0,103351.0,-2250.110019129017,-2.1062,-29347871.83489037,-2.02164,13598.22344151576,13601.79638099207,21000000.0,107779.0,-2.45447,2024-12-17 14:52:38.152000+00:00,49058.0,114.3063,2024-08-05 06:28:45.311000+00:00,2024-12-18 12:57:23.345000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
staked-ether,steth,Lido Staked Ether,3848.78,37755897878,9,37717863415,126251163,4015.43,3808.07,-150.09133676622514,-3.75334,-1486207660.6493835,-3.78728,9802695.557520475,9792820.537145032,,4829.57,-20.14989,2021-11-10 14:40:47.256000+00:00,482.9,698.60175,2020-12-22 04:08:21.854000+00:00,2024-12-18 12:57:25.022000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
stellar,xlm,Stellar,0.431875,13043093859,19,21591270336,1310649485,0.45762,0.419691,-0.025745174367169,-5.62588,-752485056.4555817,-5.45454,30205633557.38988,50001786911.16292,50001786911.16292,0.875563,-50.42243,2018-01-03 00:00:00+00:00,0.00047612,91070.25173,2015-03-05 00:00:00+00:00,2024-12-18 12:57:25.965000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
sui,sui,Sui,4.5,13214271293,18,45135948880,1665154478,4.85,4.46,-0.3159292235302189,-6.55462,-914107337.9865074,-6.47001,2927660018.558888,10000000000.0,10000000000.0,4.91,-8.36426,2024-12-16 00:50:33.515000+00:00,0.364846,1133.10728,2023-10-19 10:40:30.078000+00:00,2024-12-18 12:57:24.711000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
tether,usdt,Tether,0.999172,140519855789,4,140519855789,160789875980,1.003,0.995139,-0.0014098765604413,-0.14091,98484394.0,0.07013,140607916018.816,140607916018.816,,1.32,-24.48941,2018-07-24 00:00:00+00:00,0.572521,74.50488,2015-03-02 00:00:00+00:00,2024-12-18 12:57:26.453000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
